Short,Long,Class,Opinion
“Good hotel but nothing special”,Nice suite! Spa was good except for the arrogant and cold receptionnist at the Spa! Food was not what you expect when you are in South tyrol....german chef sorry a no go! Hygiene on the buffet considering that this hotel is promoted as beeing a Babymoonhotel...no comment! The owner of the hotel did not greet as once...have never seen this before...I really do regret the nearly 4K euros we payed for 5 days. However the cleanliness of this hotel was exceptionnal. Room Tip: Magnolia suite See more room tips,couple,NEG
“Absolutely PERFECT”,"I am not sure I can find enough superlatives to describe my 40 yrs anniversary in Hotel Dolce Vita Preidlhof, situated in a surprising beautiful province of Italy, with a positive mixture between Austrian methodical rigorous attitude and Italian exuberant intense spirit. I shall not repeat all the positive issues underlined in the previous reviews but only mention some more: Even if you already experienced the ‘Wellness Hotel’ concept, you will appreciate the style as well as the perfect arrangements of all the hotel’s facilities. For a romantic gateway or an anniversary, 3-4 days will be a good choice but if you would like to do some treatments (including sauna, gym, etc.) or explore the area and do some hiking or biking, then you will find a week might not be enough; anyway, in both cases you will wish a day could have 48 hours. Naturno is often described having plenty of sunshine days and good all year temperatures and it seems to be true as we had a wonderful weather. Swimming in the outside pool (34°C) and then relaxing in the sun was definitely not expected in February but fully enjoyed. Do not be concerned if you know only a few words in German or Italian, you will always find somebody from the staff to translate a brochure or provide you info in English; they are all very kind (including the Owners which are involved in the Hotel’s daily activities) and ready to surprise you with a large smile or a particular small gift. Some few words about the rooms and food: we asked for a suite and some room arrangements as it was a special occasion – worth every cent, surpassing any expectations. Breakfast is better than you can imagine and every dinner is a special one, you can choose from different courses, local and international fancy recipes, presented and served like in classy French restaurants, we often random ordered , as all the food was great. We left """"Preidlhof"""" concluding that we have to return sometimes.",couple,POS
“Perfect 10”,"Where do I start? First, I will say that I travel often for business and pleasure. I was looking for a place to escape and slow down for a week. I took a chance on Naturno, Italy, thinking I might be a little bored. What I found was that I never wanted to leave! The place is absolutely gorgeous and impeccably designed. Beautiful art is scattered throughout the property. Food, wine and service were fine dining quality. From the juicer in the mornings, to the loose leaf tea in the afternoons, ingredients were a delight for the culinary senses. All the staff, from the servers to the """"chief,"""" were friendly and accommodating to all my needs.",None,POS
“4-star deluxe”,"This hotel has everything that has been describedbin its brochure and more! Large, very modern, perfectly equipped rooms with all amenities you can imagine. The staff is excellent - friendly, knowledgeable, friendly,friendlyfriendly. They go beyond their way. The food is devine! We have stayed their fot 5 nights in late August and would return immediately. For sporty people it is top too. Go there!",couple,POS
“Great Lindenhof!”,"I have stayed at Lindenhof Hotel for five nights in may. It's a very nice, stilish hotel just outside the lovely village of Naturno. It is tucked away in a little street off the main road which joins the villages through the Val Venosta up to Austria and Switzerland. In fact: it wasn't that easy to find it: the signs should perhaps be more frequent... A part from that detail i have nothing to complain about! As a a family we booked the Panorama Suite on the 5th floor: definitely breathtaking, extremely modern, all new and accurately well kept daily and of course very quiet. The restaurant is very nice: for the night of my birthday they arranged a special layout and gave me a nice llittle present. Food is very good, especially desserts. Breakfast is generous anc fresh. We also appreciated the spa: not as big as in other hotel i have stayed at but very functional. Our little girl (6 yrs old) was very pleased with Sabine, the girl in the baby club who played with her in the afternoons. I didn't quite like the inside swimming pool: i think it should be renewed and keep up with the level of the rest of the hotel. On the other hand, the outside pool is really pleasant and so is the """"feng shui"""" garden where you can read or relax in the sun. What else can i say: i found everybody very kind and accurate, from the waiters to the girls at the reception. They all speak italian without difficulty, which is not to be taken for granted in Alto Adige.... In the hotel there aren't many italians (at least, not at the time we were there) but mostly suiss and germans. I do recommend this hotel for a quiet, healthy family (or romantic!) holiday. I hope i'll have the opportunity to go back there soon!",family,NEG
“Simply the best”,"This is a one off: the best hotel / resort we know. Friendly staff, always helpfull and ready to assist. Perfect food and matching wines. Stunning location with countless opportunities for hiking, biking or just relaxing at the pool. Sauna and steambaths have to be seens to be believed. Interior is the perfect combination of modern design linked to alpine traditions: stone, iron, beautiful leather . Have visited the hotel a least once a year for over 8 years and are looking forward to this summer as we will spend once again our holidays at the Lindenhof.",family,POS
“Stunning in every way”,"Glorious setting, sensational food, superb staff and great facilities = a truly memorable experience. The mountain air and abundant outdoor activities help work up an outstanding appetite. But the ever helpful team at Lindenhof takes this into their stride by serving up an enormous quantity of super fresh, high quality food from dawn till dusk paired with a wine list that would shame many top end restaurants in a capital city. And in between all of that, the excellent spa facilities help to reset the aching limbs for the next adventure. Very impressed with the entire package and, yes, we will certainly be back.",couple,POS
“Carefree hotel”,"This year we stayed again for 2 weeks in July, and for the second but not ultimate time, at this exquisite 4stars superior hotel in Naturno (South Tirol). This place has excellent climat conditions and provides easy links by public transport with the neighbouring towns Merano and Bolzano. Hotel Lindenhof has a lot of trumps such as an exclusive ¾ gourmet-pension with a well-cared and varied gastronomic menu, an extensive offer of wellness facilities, free of charge: day nursery, garage, bikes, golf-car, internet link in the room, own guided mountain walks including pick-nick, a daily and weekly Newsletter, fitness, sauna, etc. And pets are also welcome. Our Italian designed Junior Suite was cosy and spacious with all expected facilities and has more than enough built-in cupboards. From the friendly owner-family Nischler we received always a warm welcoming. The family members are within easy reach to assist us where needed and do everything to please its customers. So do all the very attentive staff members who seem all very happy to be able to work in this hotel. I’ve stayed in many hotels all over the world. It is the first time that I have no complaints at all about a hotel. I can only but warmly recommend this hotel to all people who like to be overindulged and want to experience carefree holidays.",None,POS
“Wonderful! Highly Recommend!”,"My husband and I just spent three nights at the Hotel Grones and highly recommend it to anyone staying in the Dolomites. The hotel is immaculately clean, bright and very attractive both inside and outside. The staff (English speaking) could not have been more friendly and accommodating. The owners are on site and constantly checking to make sure that everything has been taken care of for you. Our original plan was to eat at the hotel only two nights but the food and service and ambience was so nice that we opted to eat there the third night also. We found the location to be perfect for walking into town. (Note: there is a somewhat steep path with steps to get to the """"strolling path"""" - we are seventy years old and in good health so it was not a problem for us.) There is a beautiful indoor pool area and sauna that, unfortunately, we were not able to make use of this time. We would stay here again in a heartbeat! Room Tip: I believe all of the rooms have a view across the valley. We were on the second floor and had a fabu... See more room tips",couple,POS
“Charming and Luxurious Mountain Outpost”,"Grones has the warmth of a great B&B but he luxurious feel of a large 5 star hotel. The quality of the service and rooms were second to none. Very well located in Ortisei, only few minutes walk from the ski lifts or the town centre. Covered free parking is also a big bonus. But most of all the food we ate there was incredible, my wife and I are both vegetarians and the chef continued to amaze us everday. The set dinner option is fantastic value for money and highly recommended Room Tip: Please choose the rooms facing the valley, the view is well worth the extra price See more room tips",couple,POS
“An Excellent Find”,"We could not fault this hotel. We received a warm welcome, the rooms were beautiful and so were all the facilities. The food was wonderful and we were very well looked after all week. Everything was excellent but best of all was Franco! Room Tip: The view over the family is worth the supplement See more room tips",couple,POS
“Perfect mountain and SPA hotel.”,"From the arrival till departure this hotel will make your stay simply perfect. They think of everything, every aspect of hotel life is well organised and planed to make guests stays really unforgatable and satisfying. Very good, covered parking place. Extremely nice staff. Delicious meals and good wine. Large and very well designed SPA/pool area. Nice and spacious rooms with lovely view. Nice little welcome and goodbye gifts. Given that Kronplatz is only 20-30min drive away I will definitely be back. Thank you!",couple,POS
“Wonderful hotel”,"We stayed in the Tratterhof for one week and found it to be one of the best hotels we have stayed in. The hotel is in an excellent location and is spotlessly clean and comfortable. The food was delicious and varied and the staff were always warm and friendly. Nothing was too much trouble and in fact, the hotel staff are what sets this hotel apart from the rest. Wonderful!",friends,POS
“Great view and food”,"The hotel has a excellent location overlooking maranza and the valley. It is near to 4 walking trails and the ski bus stop is in front of the hotel. Our Panoramasuite was big and comfortable. I gave only 4 stars for cleanliness because they did not clean the wooden floor (living and sleeping room) and bathroom floor everyday. It is great that our room does not have a carpet floor like most hotel but the down side is that one can see the dried prints and sand from the wet shoes and the leftovers from my dog's dinner. The food was great and there are enough choices for everyone from the 5 course dinner with salad buffet, 2 choices for appetizers, 2 or 3 choices for main course and 2 choices for dessert. There was always pasta or soup at 1pm and cakes at 3pm. Our waiter was very attentive and friendly. The wellness and pool area and fitness room were clean and well-maintained. The sign for """"no kids allowed"""" on the door to the wellness area can be a bit bigger. I booked one of the wellness package for 1 1/2 hours in the morning and there happened to be a crying and screaming baby just outside the door. Although the massage and peeling were good but not at all relaxing. I did ask if it is normal for kids to be there and my massage therapist told me it is usually the italian families(?). Anyway, the family was definitely in the pool area as we were once in the afternoon at the pool with other kids and as we proceed to the wellness area, it was all quiet.",couple,POS
“Wonderful!”,"My husband and I spent the week of July 26th at Windschar and thoroughly enjoyed Gais thanks to the hospitality of the Windschar staff. Our room was kept in order by an efficient crew of ladies, reception personnel were smilingly available and the cuisine offered was exceptional. A special thank you to the waiters who spoke English and offered excellent service. We'll be back next year!",couple,POS
“GREAT WEEKEND IN EXCELLENT HOTEL !!!!!”,"We have chosen the hotel due to reviews published on Tripadvisor and we didn't regret it !!!!! We stayed at the hotel for a skiing weekend at the end of January. The hotel is situated in Gais, small, quiet village 5 km away from Brunico, 10 to 15 minutes from Kronplatz by car, and 5 to 10 minutes by car from the Brunico city center. Hotel has a main buliding and several other buildings in the same street - check it on the hotel website. We had a room on the second floor of the Landhouse which is 80 meters away from the main building - it was ok for us. The Landhouse has a garage and a slope's storage. The room was spacious, nicely decorated, warm and cosy with a nice sitting area - exactly like the one on hotel website. You'll find and umbrella and a bathrobes in the room, a small refridgerator, safety deposit box, and a TV. It is a quiet village, so it was perfect for a good night sleep. There are two types of pillows in the room so you can choose if you prefere a soft or a firm one. The bathroom was small with a bathtube, a bidet, a toilet, and a washbasin - it has a dark brown tiles and looks a little bit claustrophobic and this is my only objection: there are free soap, shower cap, and a liquid soap and shampoo in one, as well as a hairdryer and a radio. The room and the bathroom were spotlessly clean, towels could be changed on a daily bases if you need. We had a spacious balcony as well with a view to mountins. Reception, restaurant and a bar are in the main building. The food was really great, a variety of everything for breakfast, a soup, salads, sandwiches and pastries served from 2:30 till 5 pm, and a four course dinner from 7 pm: there is an aperitif, salads from a salad bar, warm appetizer, main dish, and a dessert for a dinner. We didn't go to a wellness or an indoor pool - those are in the adjacent building (just across the main building), but those looked ok on the website. I don't know how the internet works because we didn't use it, but there is a free wifi in the lobby in the main building where you can find a nice sitting area with several free magazines and newspapers for hotel guests. The stuff is warm, helpful and friendly: they made our stay at the hotel unforgettable, and we both felt sad when we had to leave. Special thanks to Slavisa, Ivan, Geza and Vito - they were really great and we felt like we're at home!!!! At the departure we got a small present, a bottle of spices that is great!!!! There is a garage behind the main building, as well as a free parking in front of the main building. We got a free a free weekly ticket for a bus that we'll take you to the different skiing places - the bus stop is just in front of the hotel entrance. And if you need something, there is a small supermarket, a deli shop and a sports shop in the same street as the hotel. This is really great hotel with excellent stuff and service, and I strongly reccomend the hotel - you'll not regret it if you choose the Windschar for your hotel in Brunico !!!",couple,POS
“That's the great hotel”,Home like feeling. Friendly and helpful personnel speaking different languages. Tidy and comfortable rooms. Top-rank restaurant. a lot of events organized by the hotel. Beautiful nature. No one reason not to go....,friends,POS
“the best in the area”,"it's by far the best hotel in the area, overall, one of the best hotels we ever have been to. there is all you need 24 hours a day: excellent food, great location, great staff, good possibilities of sports/activities, great wellness/pools/sauna, .... a real place to feel good, to feel well-treated, to relax and enjoy! we will come back in 2 months!",couple,POS
"“What a fantastic hotel, true hospitality you will find here!”","We stayed here this summer, our family with 4 children and our aupair. From the moment of arrival until the moment of departure it was great. The hotel is owned and managed by the family Kronbichler. This family is truly amazing, they know every guest by name ( a lot of returning guests and we understand why!) and from breakfast until the last drink in the bar you feelnthat they have it all under control. The hotel is located in Süd-Tirol and the mountains are fantastic to explore, even with young children. The city of Bruneck is close by and fantastic to just visit more then once, a very nice historic center with good quality restaurants and terraces. In the reception there is a binder with all kind of activities from young families to the more experienced hikers. The hotel facilities are very good, swimming pool and summer garden, spa with indoors swimming pool. Restaurant and bar have a good selection of food. When you stay like us for more then a week then you will choose half board. Every evening a great salad buffet with a lot of variation, the menu it self is also from a very good quality. We stayed in a large family suite with a terrace which was a very good choice. It is located 80 meters from the main house which for us was not a problem at all, actually it was quite nice. We can highly recommend this hotel to everyone! Thanks to the team of hotel Windschar we had a great summer holiday.",family,POS
“True hospitality & outstanding service!”,"We stayed with our friends for one night 18/2-19/2 and without any doubt this hotel is remarkable. The warm and personal welcome from Mr. and Mrs. Kronbichler and the eye for detail makes this hotel a very nice place to stay. The Kronbichlers and the staff are friendly, lending a helping hand without asking and the rooms and facilities are simply great. Nothing seems too much trouble. Food is very good, and the winelist extensive and reasonably priced. Yes, we will recommend this hotel to our friends and family!",family,POS
“Real gem”,"This is a real gem of a hotel. Everything about our experience was high quality. As soon as you arrive you realise you are in good care, with the indefatigable Frau Zemmer's very friendly welcome. I was particularly impressed that she knew the first names of all 5 members of our family without consulting any prompt on our arrival - it's not as if we were the only ones there. The hotel itself is located high up the hillside outside of Ortisei so the views are fantastic. If you like being away from the crowd then it is perfect. All aspects of the hotel are warm and comfortable. Our room was up at the top of the hotel sleeping all five of us. It was spotlessly clean and well-appointed. If I was going to make any observation it was that my bed was a little hard. The food was exceptional at both breakfast and dinner and the hotel was really accommodating with the kids' preferences. A nice personal touch is that each of the tables have the guests' name on them. Frau Zemmer is always happy to help and give useful tips on what to do. For those people who appreciate nice gardens, the rose garden at the back of the hotel is quite amazing. You can hire bikes for free at the hotel. Also make sure you get the free bus tickets from Frau Zemmer to take you down into Ortisei. Overall a lovely hotel and thoroughly relaxing and enjoyable stay.",family,POS
“Perfect in every way”,"I cannot recommend this hotel highly enough. The setting is stunning. The decor is absolutely charming. The bedrooms are really well appointed. Everywhere is spotlessly clean. And the food is excellent. But on top of all that the quality of hospitality is outstanding. The family are really welcoming and warm. Frau Zemmer in particular is always around ensuring that everything is perfect. The attention to detail is fabulous - including for instance a tree in the entrance hall bearing hearts with the hotel guests' names on. My daughter is vegetarian, and Frau Zemmer went to great trouble every day to discuss the evening's menu with my daughter to ensure that the set meal was adapted to suit her. On the festival of the Assumption of the Virgin Mary, the family provided aperitifs and musical entertainment, which was delightful. Our whole stay was perfect. We were very sad to leave, and we hope to return. I would love to become a regular. If you want a bland international hotel with lots of nightlife, this is not for you. But if you want a relaxing stay in the mountains with genuine local hospitality and excellent food, this is the perfect place. Room Tip: We had 2 comfort rooms with balconies overlooking the valley, which were very spacious and well appo... See more room tips",family,POS
“Meeting of friends malta/england”,"Stayed in this lovely hotel, run by the Zemmer family. The views of the surrounding country are stunning. We concur with Albert V. Food and wine excellent. Frau Zemmer is charming and extremely helpful and did everything she could to make our holiday special. Many thanks to her. Room Tip: We went for a superior room. Very spacious and comfortable. However, all rooms wold be very good. See more room tips",friends,POS
“A little paradise in Dolomites”,This lovely 10-bedroom hotel is located above Ortisei and has wonderful mountain views. It is sutuated in the small quiet village of Bulla (Pufels) and run by the charming Zemmer family. The whole place is about tranquility. Rooms and bathrooms are well-appointed. Breakfast is very good and dinner (half-board only) superb. Wine list is short and very good. Not cheap but well worth it. Mrs Zemmer is a most pleasant and helpful person. Room Tip: superior room with view of Ortisei See more room tips,friends,POS
